id,key,Rank,Taxa,originalName,Kingdom,Phylum,Class,Order,Family,Genus,Species,Common,scientificName,canonicalName,Status,Confidence,Match,Stamp
1,3177019,SPECIES,Eucalyptus leucoxylon,Eucalyptus leucoxylon,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus leucoxylon,white ironbark,Eucalyptus leucoxylon F.Muell.,Eucalyptus leucoxylon,ACCEPTED,100,EXACT,2019-12-02T13:56:36Z
A00036,2495196,SPECIES,Phaps histrionica,Phaps histrionica,Animalia,Chordata,Aves,Columbiformes,Columbidae,Phaps,Phaps histrionica,NA,"Phaps histrionica (Gould, 1841)",Phaps histrionica,ACCEPTED,100,EXACT,2019-11-01T16:10:31Z
A00044,2495910,SPECIES,Leucosarcia melanoleuca,Leucosarcia melanoleuca,Animalia,Chordata,Aves,Columbiformes,Columbidae,Leucosarcia,Leucosarcia melanoleuca,NA,"Leucosarcia melanoleuca (Latham, 1802)",Leucosarcia melanoleuca,ACCEPTED,100,EXACT,2019-11-01T16:05:42Z
A00060,2482054,SPECIES,Podiceps cristatus,Podiceps cristatus,Animalia,Chordata,Aves,Podicipediformes,Podicipedidae,Podiceps,Podiceps cristatus,NA,"Podiceps cristatus (Linnaeus, 1758)",Podiceps cristatus,ACCEPTED,100,EXACT,2019-11-01T16:11:09Z
A00088,2481410,SPECIES,Thalassarche melanophris,Thalassarche melanophris,Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,Thalassarche,Thalassarche melanophris,NA,"Thalassarche melanophris (Temminck, 1828)",Thalassarche melanophris,ACCEPTED,100,EXACT,2019-11-01T16:14:41Z
A00096,2481890,SPECIES,Phalacrocorax carbo,Phalacrocorax carbo,Animalia,Chordata,Aves,Suliformes,Phalacrocoracidae,Phalacrocorax,Phalacrocorax carbo,NA,"Phalacrocorax carbo (Linnaeus, 1758)",Phalacrocorax carbo,ACCEPTED,100,EXACT,2019-11-01T16:10:24Z
A00132,2480212,SPECIES,Erythrogonys cinctus,Erythrogonys cinctus,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Erythrogonys,Erythrogonys cinctus,NA,"Erythrogonys cinctus Gould, 1838",Erythrogonys cinctus,ACCEPTED,100,EXACT,2019-11-01T16:02:34Z
A00140,2480294,SPECIES,Charadrius bicinctus,Charadrius bicinctus,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius,Charadrius bicinctus,NA,"Charadrius bicinctus Jardine & Selby, 1827",Charadrius bicinctus,ACCEPTED,100,EXACT,2019-11-01T15:58:55Z
A00168,2481830,SPECIES,Gallinago hardwickii,Gallinago hardwickii,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Gallinago,Gallinago hardwickii,NA,"Gallinago hardwickii (J.E.Gray, 1831)",Gallinago hardwickii,ACCEPTED,100,EXACT,2019-11-01T16:03:14Z
A00176,2474903,SPECIES,Ardeotis australis,Ardeotis australis,Animalia,Chordata,Aves,Otidiformes,Otididae,Ardeotis,Ardeotis australis,NA,"Ardeotis australis (J.E.Gray, 1829)",Ardeotis australis,ACCEPTED,100,EXACT,2019-11-01T15:56:46Z
